数据集,模型,缺失率,预测长度,mse,mae
AL,DUET,0,12,0.08760970085859299,0.19188621640205383
AL,DUET,0,24,0.1280279904603958,0.21767014265060425
AL,DUET,0,48,0.17811380326747894,0.2534215450286865
AL,DUET,5,12,0.08760970085859299,0.19188621640205383
AL,DUET,5,24,0.1280279904603958,0.21767014265060425
AL,DUET,5,48,0.17811380326747894,0.2534215450286865
AL,DUET,10,12,0.08760970085859299,0.19188621640205383
AL,DUET,10,24,0.1280279904603958,0.21767014265060425
AL,DUET,10,48,0.17811380326747894,0.2534215450286865
AL,DUET,20,12,0.08760970085859299,0.19188621640205383
AL,v1,0,12,0.059688299894332886,0.12223504483699799
AL,v1,0,24,0.11328951269388199,0.17914548516273499
AL,v1,0,48,0.17603670060634613,0.22035275399684906
AL,v1,5,12,0.05972495302557945,0.12228723615407944
AL,v1,5,24,0.11326040327548981,0.17916853725910187
AL,v1,5,48,0.17608268558979034,0.22039839625358582
AL,v1,10,12,0.0597003810107708,0.12224558740854263
AL,v1,10,24,0.11327487975358963,0.17921268939971924
AL,v1,10,48,0.17605680227279663,0.2203492671251297
AL,v1,20,12,0.05967692285776138,0.1222013309597969
AL,v1,20,24,0.11330332607030869,0.1791340857744217
AL,v1,20,48,0.17603272199630737,0.22039267420768738
AL,v1,30,12,0.05967714637517929,0.12217199057340622
AL,v1,30,24,0.11321422457695007,0.17909307777881622
AL,v1,30,48,0.17613710463047028,0.22041790187358856
AL,v1,50,12,0.05964433029294014,0.12215588986873627
AL,v1,50,24,0.11322518438100815,0.17903144657611847
AL,v1,50,48,0.17613743245601654,0.22042806446552277
AL,v1,80,12,0.05967426672577858,0.12221350520849228
AL,v1,80,24,0.11320216953754425,0.17908884584903717
AL,v1,80,48,0.1761116087436676,0.22046762704849243
ETTh1,DUET,0,96,0.4358794093132019,0.45753777027130127
ETTh1,DUET,0,96,0.4358794093132019,0.45753777027130127
ETTh1,DUET,0,192,0.5221260786056519,0.5152621269226074
ETTh1,DUET,0,192,0.5221260786056519,0.5152621269226074
ETTh1,DUET,0,336,0.5705112218856812,0.5428572297096252
ETTh1,DUET,0,336,0.5705112218856812,0.5428572297096252
ETTh1,DUET,0,720,0.7223784923553467,0.6334362626075745
ETTh1,DUET,0,720,0.7223784923553467,0.6334362626075745
ETTh1,DUET,5,96,0.4510292112827301,0.47164303064346313
ETTh1,DUET,5,96,0.4510292112827301,0.47164303064346313
ETTh1,DUET,5,192,0.49735599756240845,0.5011163949966431
ETTh1,DUET,5,192,0.49735599756240845,0.5011163949966431
ETTh1,DUET,5,336,0.568484365940094,0.5434572100639343
ETTh1,DUET,5,336,0.568484365940094,0.5434572100639343
ETTh1,DUET,5,720,0.7323047518730164,0.6355757713317871
ETTh1,DUET,5,720,0.7323047518730164,0.6355757713317871
ETTh1,DUET,10,96,0.49901434779167175,0.4980086386203766
ETTh1,DUET,10,96,0.49901434779167175,0.4980086386203766
ETTh1,DUET,10,192,0.5715214610099792,0.5364227294921875
ETTh1,DUET,10,192,0.5715214610099792,0.5364227294921875
ETTh1,DUET,10,336,0.5659694075584412,0.5439509749412537
ETTh1,DUET,10,336,0.5659694075584412,0.5439509749412537
ETTh1,DUET,10,720,0.723175048828125,0.6287665367126465
ETTh1,DUET,10,720,0.723175048828125,0.6287665367126465
ETTh1,DUET,20,96,0.5545394420623779,0.5156066417694092
ETTh1,DUET,20,96,0.5545394420623779,0.5156066417694092
ETTh1,DUET,20,192,0.5478317141532898,0.528500497341156
ETTh1,DUET,20,192,0.5478317141532898,0.528500497341156
ETTh1,DUET,20,336,0.598987340927124,0.5585975050926208
ETTh1,DUET,20,336,0.598987340927124,0.5585975050926208
ETTh1,DUET,20,720,0.7609940767288208,0.6411250233650208
ETTh1,DUET,20,720,0.7609940767288208,0.6411250233650208
ETTh1,DUET,30,96,0.5436798930168152,0.5202814340591431
ETTh1,DUET,30,96,0.5436798930168152,0.5202814340591431
ETTh1,DUET,30,192,0.6093909740447998,0.5578970313072205
ETTh1,DUET,30,192,0.6093909740447998,0.5578970313072205
ETTh1,DUET,30,336,0.6566908955574036,0.579638659954071
ETTh1,DUET,30,336,0.6566908955574036,0.579638659954071
ETTh1,DUET,30,720,0.8047875165939331,0.658568263053894
ETTh1,DUET,30,720,0.8047875165939331,0.658568263053894
ETTh1,DUET,50,96,0.7745980024337769,0.6303956508636475
ETTh1,DUET,50,96,0.7745980024337769,0.6303956508636475
ETTh1,DUET,50,192,0.8088749051094055,0.6436329483985901
ETTh1,DUET,50,192,0.8088749051094055,0.6436329483985901
ETTh1,DUET,50,336,0.8792815804481506,0.6723236441612244
ETTh1,DUET,50,336,0.8792815804481506,0.6723236441612244
ETTh1,DUET,50,720,1.1065022945404053,0.7740634679794312
ETTh1,DUET,50,720,1.1065022945404053,0.7740634679794312
ETTh1,DUET,80,96,2.607700824737549,1.1888090372085571
ETTh1,DUET,80,96,2.607700824737549,1.1888090372085571
ETTh1,DUET,80,192,2.680248975753784,1.1883628368377686
ETTh1,DUET,80,192,2.680248975753784,1.1883628368377686
