2026-05-01 21:27:14,090 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 21:27:14,148 - INFO - >>>>>>>start training : 注意力只用周期且加tanh_96_96_TQNet_1_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 21:27:37,603 - INFO - Y_seasonal mean abs: 0.2802, output mean abs: 0.4125
2026-05-01 21:27:37,887 - INFO - Y_seasonal mean abs: 0.2795, output mean abs: 0.4126
2026-05-01 21:27:37,910 - INFO - Y_seasonal mean abs: 0.2809, output mean abs: 0.4101
2026-05-01 21:27:37,947 - INFO - Y_seasonal mean abs: 0.2809, output mean abs: 0.4088
2026-05-01 21:27:37,968 - INFO - Y_seasonal mean abs: 0.2812, output mean abs: 0.4092
2026-05-01 21:27:37,992 - INFO - Y_seasonal mean abs: 0.2820, output mean abs: 0.4079
2026-05-01 21:27:38,015 - INFO - Y_seasonal mean abs: 0.2827, output mean abs: 0.4074
2026-05-01 21:27:38,039 - INFO - Y_seasonal mean abs: 0.2843, output mean abs: 0.4061
2026-05-01 21:27:38,063 - INFO - Y_seasonal mean abs: 0.2846, output mean abs: 0.4041
2026-05-01 21:27:38,086 - INFO - Y_seasonal mean abs: 0.2854, output mean abs: 0.4054
2026-05-01 21:27:38,111 - INFO - Y_seasonal mean abs: 0.2859, output mean abs: 0.4053
2026-05-01 21:27:38,134 - INFO - Y_seasonal mean abs: 0.2879, output mean abs: 0.4043
2026-05-01 21:27:38,154 - INFO - Y_seasonal mean abs: 0.2891, output mean abs: 0.4013
2026-05-01 21:27:38,179 - INFO - Y_seasonal mean abs: 0.2900, output mean abs: 0.4020
2026-05-01 21:27:38,201 - INFO - Y_seasonal mean abs: 0.2920, output mean abs: 0.4025
2026-05-01 21:27:38,222 - INFO - Y_seasonal mean abs: 0.2940, output mean abs: 0.4005
2026-05-01 21:27:38,243 - INFO - Y_seasonal mean abs: 0.2955, output mean abs: 0.3997
2026-05-01 21:27:38,264 - INFO - Y_seasonal mean abs: 0.2959, output mean abs: 0.4006
2026-05-01 21:27:38,283 - INFO - Y_seasonal mean abs: 0.2977, output mean abs: 0.3983
2026-05-01 21:27:38,305 - INFO - Y_seasonal mean abs: 0.3006, output mean abs: 0.3989
2026-05-01 21:27:38,327 - INFO - Y_seasonal mean abs: 0.3031, output mean abs: 0.3997
2026-05-01 21:27:38,347 - INFO - Y_seasonal mean abs: 0.3042, output mean abs: 0.3994
2026-05-01 21:27:38,369 - INFO - Y_seasonal mean abs: 0.3072, output mean abs: 0.4015
2026-05-01 21:27:38,391 - INFO - Y_seasonal mean abs: 0.3095, output mean abs: 0.3985
2026-05-01 21:27:38,412 - INFO - Y_seasonal mean abs: 0.3109, output mean abs: 0.4001
2026-05-01 21:27:38,434 - INFO - Y_seasonal mean abs: 0.3130, output mean abs: 0.3977
2026-05-01 21:27:38,453 - INFO - Y_seasonal mean abs: 0.3154, output mean abs: 0.3988
2026-05-01 21:27:38,475 - INFO - Y_seasonal mean abs: 0.3175, output mean abs: 0.3981
2026-05-01 21:27:38,496 - INFO - Y_seasonal mean abs: 0.3204, output mean abs: 0.3994
2026-05-01 21:27:38,517 - INFO - Y_seasonal mean abs: 0.3222, output mean abs: 0.3995
2026-05-01 21:27:38,538 - INFO - Y_seasonal mean abs: 0.3241, output mean abs: 0.3987
2026-05-01 21:27:38,560 - INFO - Y_seasonal mean abs: 0.3278, output mean abs: 0.3980
2026-05-01 21:27:38,577 - INFO - Y_seasonal mean abs: 0.3297, output mean abs: 0.4000
2026-05-01 21:27:38,598 - INFO - Y_seasonal mean abs: 0.3325, output mean abs: 0.3982
2026-05-01 21:27:38,619 - INFO - Y_seasonal mean abs: 0.3339, output mean abs: 0.4006
2026-05-01 21:27:38,638 - INFO - Y_seasonal mean abs: 0.3380, output mean abs: 0.4003
2026-05-01 21:27:38,655 - INFO - Y_seasonal mean abs: 0.3396, output mean abs: 0.4007
2026-05-01 21:27:38,677 - INFO - Y_seasonal mean abs: 0.3417, output mean abs: 0.3999
2026-05-01 21:27:38,697 - INFO - Y_seasonal mean abs: 0.3454, output mean abs: 0.4033
2026-05-01 21:27:38,715 - INFO - Y_seasonal mean abs: 0.3476, output mean abs: 0.4014
2026-05-01 21:27:38,735 - INFO - Y_seasonal mean abs: 0.3505, output mean abs: 0.4020
2026-05-01 21:27:38,753 - INFO - Y_seasonal mean abs: 0.3530, output mean abs: 0.4039
2026-05-01 21:27:38,774 - INFO - Y_seasonal mean abs: 0.3555, output mean abs: 0.4016
2026-05-01 21:27:38,796 - INFO - Y_seasonal mean abs: 0.3588, output mean abs: 0.4049
2026-05-01 21:27:38,816 - INFO - Y_seasonal mean abs: 0.3593, output mean abs: 0.4045
2026-05-01 21:27:38,837 - INFO - Y_seasonal mean abs: 0.3640, output mean abs: 0.4069
2026-05-01 21:27:39,536 - INFO - Epoch: 1 cost time: 24.50687289237976
2026-05-01 21:28:01,657 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2828
2026-05-01 21:28:01,739 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2845
2026-05-01 21:28:01,783 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2835
2026-05-01 21:28:01,798 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2824
2026-05-01 21:28:01,813 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2857
2026-05-01 21:28:01,828 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2834
2026-05-01 21:28:24,502 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2877
2026-05-01 21:28:24,584 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2741
2026-05-01 21:28:24,669 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2747
2026-05-01 21:28:24,724 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2902
2026-05-01 21:28:24,775 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2943
2026-05-01 21:28:24,786 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2851
2026-05-01 21:28:24,798 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.3027
2026-05-01 21:28:24,810 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.3048
2026-05-01 21:28:24,819 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.3001
2026-05-01 21:28:24,832 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2943
2026-05-01 21:28:24,844 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2885
2026-05-01 21:28:24,854 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2939
2026-05-01 21:28:24,866 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2902
2026-05-01 21:28:24,876 - INFO - Y_seasonal mean abs: 0.3544, output mean abs: 0.2986
2026-05-01 21:28:25,582 - INFO - Epoch: 1, Steps: 46 | Train Loss: 0.6993792 Vali Loss: 0.5087279 Test Loss: 0.7277607
2026-05-01 21:28:25,582 - INFO - Validation loss decreased (inf --> 0.508728).  Saving model ...
2026-05-01 21:28:25,590 - INFO - Updating learning rate to 0.001
2026-05-01 21:28:47,938 - INFO - Y_seasonal mean abs: 0.3658, output mean abs: 0.4060
2026-05-01 21:28:48,121 - INFO - Y_seasonal mean abs: 0.4384, output mean abs: 0.4359
2026-05-01 21:28:48,185 - INFO - Y_seasonal mean abs: 0.5089, output mean abs: 0.4800
2026-05-01 21:28:48,210 - INFO - Y_seasonal mean abs: 0.5673, output mean abs: 0.5408
2026-05-01 21:28:48,232 - INFO - Y_seasonal mean abs: 0.6149, output mean abs: 0.6154
2026-05-01 21:28:48,256 - INFO - Y_seasonal mean abs: 0.6506, output mean abs: 0.6518
2026-05-01 21:28:48,281 - INFO - Y_seasonal mean abs: 0.6784, output mean abs: 0.6937
2026-05-01 21:28:48,306 - INFO - Y_seasonal mean abs: 0.6979, output mean abs: 0.6925
2026-05-01 21:28:48,331 - INFO - Y_seasonal mean abs: 0.7158, output mean abs: 0.6620
2026-05-01 21:28:48,355 - INFO - Y_seasonal mean abs: 0.7302, output mean abs: 0.6434
2026-05-01 21:28:48,378 - INFO - Y_seasonal mean abs: 0.7415, output mean abs: 0.6080
2026-05-01 21:28:48,399 - INFO - Y_seasonal mean abs: 0.7517, output mean abs: 0.5715
2026-05-01 21:28:48,422 - INFO - Y_seasonal mean abs: 0.7601, output mean abs: 0.5506
2026-05-01 21:28:48,444 - INFO - Y_seasonal mean abs: 0.7682, output mean abs: 0.5261
2026-05-01 21:28:48,465 - INFO - Y_seasonal mean abs: 0.7740, output mean abs: 0.5054
2026-05-01 21:28:48,487 - INFO - Y_seasonal mean abs: 0.7795, output mean abs: 0.4926
2026-05-01 21:28:48,509 - INFO - Y_seasonal mean abs: 0.7848, output mean abs: 0.4768
2026-05-01 21:28:48,532 - INFO - Y_seasonal mean abs: 0.7889, output mean abs: 0.4692
2026-05-01 21:28:48,555 - INFO - Y_seasonal mean abs: 0.7922, output mean abs: 0.4627
2026-05-01 21:28:48,577 - INFO - Y_seasonal mean abs: 0.7951, output mean abs: 0.4596
2026-05-01 21:28:48,600 - INFO - Y_seasonal mean abs: 0.7981, output mean abs: 0.4674
2026-05-01 21:28:48,621 - INFO - Y_seasonal mean abs: 0.8012, output mean abs: 0.4708
2026-05-01 21:28:48,644 - INFO - Y_seasonal mean abs: 0.8025, output mean abs: 0.4823
