2026-05-01 21:13:28,372 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 21:13:28,426 - INFO - >>>>>>>start training : with_residual_decomposition_v2_96_96_TQNet_2_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 21:13:50,570 - INFO - Y_seasonal mean abs: 0.3120, output mean abs: 0.4129
2026-05-01 21:13:50,837 - INFO - Y_seasonal mean abs: 0.3111, output mean abs: 0.4130
2026-05-01 21:13:50,949 - INFO - Y_seasonal mean abs: 0.3128, output mean abs: 0.4105
2026-05-01 21:13:51,067 - INFO - Y_seasonal mean abs: 0.3127, output mean abs: 0.4091
2026-05-01 21:13:51,088 - INFO - Y_seasonal mean abs: 0.3130, output mean abs: 0.4096
2026-05-01 21:13:51,110 - INFO - Y_seasonal mean abs: 0.3138, output mean abs: 0.4083
2026-05-01 21:13:51,134 - INFO - Y_seasonal mean abs: 0.3149, output mean abs: 0.4078
2026-05-01 21:13:51,156 - INFO - Y_seasonal mean abs: 0.3167, output mean abs: 0.4065
2026-05-01 21:13:51,180 - INFO - Y_seasonal mean abs: 0.3171, output mean abs: 0.4045
2026-05-01 21:13:51,205 - INFO - Y_seasonal mean abs: 0.3181, output mean abs: 0.4059
2026-05-01 21:13:51,226 - INFO - Y_seasonal mean abs: 0.3187, output mean abs: 0.4056
2026-05-01 21:13:51,249 - INFO - Y_seasonal mean abs: 0.3212, output mean abs: 0.4048
2026-05-01 21:13:51,271 - INFO - Y_seasonal mean abs: 0.3230, output mean abs: 0.4017
2026-05-01 21:13:51,289 - INFO - Y_seasonal mean abs: 0.3240, output mean abs: 0.4025
2026-05-01 21:13:51,310 - INFO - Y_seasonal mean abs: 0.3267, output mean abs: 0.4029
2026-05-01 21:13:51,331 - INFO - Y_seasonal mean abs: 0.3291, output mean abs: 0.4010
2026-05-01 21:13:51,351 - INFO - Y_seasonal mean abs: 0.3315, output mean abs: 0.4002
2026-05-01 21:13:51,373 - INFO - Y_seasonal mean abs: 0.3323, output mean abs: 0.4012
2026-05-01 21:13:51,395 - INFO - Y_seasonal mean abs: 0.3349, output mean abs: 0.3988
2026-05-01 21:13:51,417 - INFO - Y_seasonal mean abs: 0.3386, output mean abs: 0.3994
2026-05-01 21:13:51,438 - INFO - Y_seasonal mean abs: 0.3419, output mean abs: 0.4003
2026-05-01 21:13:51,456 - INFO - Y_seasonal mean abs: 0.3432, output mean abs: 0.4000
2026-05-01 21:13:51,477 - INFO - Y_seasonal mean abs: 0.3472, output mean abs: 0.4022
2026-05-01 21:13:51,499 - INFO - Y_seasonal mean abs: 0.3504, output mean abs: 0.3991
2026-05-01 21:13:51,519 - INFO - Y_seasonal mean abs: 0.3526, output mean abs: 0.4007
2026-05-01 21:13:51,541 - INFO - Y_seasonal mean abs: 0.3556, output mean abs: 0.3984
2026-05-01 21:13:51,563 - INFO - Y_seasonal mean abs: 0.3589, output mean abs: 0.3995
2026-05-01 21:13:51,584 - INFO - Y_seasonal mean abs: 0.3618, output mean abs: 0.3989
2026-05-01 21:13:51,603 - INFO - Y_seasonal mean abs: 0.3658, output mean abs: 0.4001
2026-05-01 21:13:51,620 - INFO - Y_seasonal mean abs: 0.3682, output mean abs: 0.4003
2026-05-01 21:13:51,641 - INFO - Y_seasonal mean abs: 0.3710, output mean abs: 0.3995
2026-05-01 21:13:51,663 - INFO - Y_seasonal mean abs: 0.3765, output mean abs: 0.3989
2026-05-01 21:13:51,683 - INFO - Y_seasonal mean abs: 0.3790, output mean abs: 0.4009
2026-05-01 21:13:51,705 - INFO - Y_seasonal mean abs: 0.3832, output mean abs: 0.3991
2026-05-01 21:13:51,726 - INFO - Y_seasonal mean abs: 0.3853, output mean abs: 0.4015
2026-05-01 21:13:51,747 - INFO - Y_seasonal mean abs: 0.3908, output mean abs: 0.4013
2026-05-01 21:13:51,768 - INFO - Y_seasonal mean abs: 0.3936, output mean abs: 0.4016
2026-05-01 21:13:51,787 - INFO - Y_seasonal mean abs: 0.3964, output mean abs: 0.4010
2026-05-01 21:13:51,808 - INFO - Y_seasonal mean abs: 0.4017, output mean abs: 0.4044
2026-05-01 21:13:51,829 - INFO - Y_seasonal mean abs: 0.4052, output mean abs: 0.4024
2026-05-01 21:13:51,850 - INFO - Y_seasonal mean abs: 0.4094, output mean abs: 0.4031
2026-05-01 21:13:51,872 - INFO - Y_seasonal mean abs: 0.4133, output mean abs: 0.4050
2026-05-01 21:13:51,894 - INFO - Y_seasonal mean abs: 0.4172, output mean abs: 0.4028
2026-05-01 21:13:51,914 - INFO - Y_seasonal mean abs: 0.4218, output mean abs: 0.4062
2026-05-01 21:13:51,935 - INFO - Y_seasonal mean abs: 0.4230, output mean abs: 0.4058
2026-05-01 21:13:51,956 - INFO - Y_seasonal mean abs: 0.4298, output mean abs: 0.4083
2026-05-01 21:13:52,644 - INFO - Epoch: 1 cost time: 23.358187198638916
2026-05-01 21:14:13,920 - INFO - Y_seasonal mean abs: 0.3887, output mean abs: 0.2836
2026-05-01 21:14:14,052 - INFO - Y_seasonal mean abs: 0.3887, output mean abs: 0.2852
2026-05-01 21:14:14,066 - INFO - Y_seasonal mean abs: 0.3887, output mean abs: 0.2842
2026-05-01 21:14:14,074 - INFO - Y_seasonal mean abs: 0.3887, output mean abs: 0.2831
2026-05-01 21:14:14,086 - INFO - Y_seasonal mean abs: 0.3887, output mean abs: 0.2864
2026-05-01 21:14:14,097 - INFO - Y_seasonal mean abs: 0.3887, output mean abs: 0.2841
2026-05-01 21:14:36,125 - INFO - Y_seasonal mean abs: 0.3887, output mean abs: 0.2884
