2026-05-01 22:16:05,749 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 22:16:05,801 - INFO - >>>>>>>start training : 取消Y_seasonal_96_96_TQNet_2_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 22:16:27,893 - INFO - Y_seasonal mean abs: 0.2802, output mean abs: 0.4114
2026-05-01 22:16:28,138 - INFO - Y_seasonal mean abs: 0.2793, output mean abs: 0.4114
2026-05-01 22:16:28,160 - INFO - Y_seasonal mean abs: 0.2804, output mean abs: 0.4089
2026-05-01 22:16:28,193 - INFO - Y_seasonal mean abs: 0.2801, output mean abs: 0.4078
2026-05-01 22:16:28,215 - INFO - Y_seasonal mean abs: 0.2798, output mean abs: 0.4081
2026-05-01 22:16:28,238 - INFO - Y_seasonal mean abs: 0.2802, output mean abs: 0.4067
2026-05-01 22:16:28,259 - INFO - Y_seasonal mean abs: 0.2799, output mean abs: 0.4061
2026-05-01 22:16:28,280 - INFO - Y_seasonal mean abs: 0.2806, output mean abs: 0.4049
2026-05-01 22:16:28,303 - INFO - Y_seasonal mean abs: 0.2803, output mean abs: 0.4029
2026-05-01 22:16:28,323 - INFO - Y_seasonal mean abs: 0.2798, output mean abs: 0.4043
2026-05-01 22:16:28,343 - INFO - Y_seasonal mean abs: 0.2793, output mean abs: 0.4040
2026-05-01 22:16:28,365 - INFO - Y_seasonal mean abs: 0.2803, output mean abs: 0.4030
2026-05-01 22:16:28,386 - INFO - Y_seasonal mean abs: 0.2799, output mean abs: 0.4000
2026-05-01 22:16:28,406 - INFO - Y_seasonal mean abs: 0.2796, output mean abs: 0.4007
2026-05-01 22:16:28,429 - INFO - Y_seasonal mean abs: 0.2801, output mean abs: 0.4010
2026-05-01 22:16:28,449 - INFO - Y_seasonal mean abs: 0.2805, output mean abs: 0.3989
2026-05-01 22:16:28,469 - INFO - Y_seasonal mean abs: 0.2807, output mean abs: 0.3983
2026-05-01 22:16:28,488 - INFO - Y_seasonal mean abs: 0.2798, output mean abs: 0.3991
2026-05-01 22:16:28,508 - INFO - Y_seasonal mean abs: 0.2796, output mean abs: 0.3967
2026-05-01 22:16:28,528 - INFO - Y_seasonal mean abs: 0.2804, output mean abs: 0.3974
2026-05-01 22:16:28,548 - INFO - Y_seasonal mean abs: 0.2807, output mean abs: 0.3982
2026-05-01 22:16:28,568 - INFO - Y_seasonal mean abs: 0.2800, output mean abs: 0.3976
2026-05-01 22:16:28,588 - INFO - Y_seasonal mean abs: 0.2802, output mean abs: 0.3997
2026-05-01 22:16:28,607 - INFO - Y_seasonal mean abs: 0.2805, output mean abs: 0.3965
2026-05-01 22:16:28,626 - INFO - Y_seasonal mean abs: 0.2800, output mean abs: 0.3981
2026-05-01 22:16:28,647 - INFO - Y_seasonal mean abs: 0.2799, output mean abs: 0.3958
2026-05-01 22:16:28,669 - INFO - Y_seasonal mean abs: 0.2802, output mean abs: 0.3969
2026-05-01 22:16:28,688 - INFO - Y_seasonal mean abs: 0.2800, output mean abs: 0.3959
2026-05-01 22:16:28,707 - INFO - Y_seasonal mean abs: 0.2807, output mean abs: 0.3970
2026-05-01 22:16:28,724 - INFO - Y_seasonal mean abs: 0.2796, output mean abs: 0.3971
2026-05-01 22:16:28,743 - INFO - Y_seasonal mean abs: 0.2790, output mean abs: 0.3963
2026-05-01 22:16:28,764 - INFO - Y_seasonal mean abs: 0.2806, output mean abs: 0.3956
2026-05-01 22:16:28,782 - INFO - Y_seasonal mean abs: 0.2805, output mean abs: 0.3974
2026-05-01 22:16:28,802 - INFO - Y_seasonal mean abs: 0.2807, output mean abs: 0.3957
2026-05-01 22:16:28,820 - INFO - Y_seasonal mean abs: 0.2801, output mean abs: 0.3979
2026-05-01 22:16:28,839 - INFO - Y_seasonal mean abs: 0.2805, output mean abs: 0.3975
2026-05-01 22:16:28,859 - INFO - Y_seasonal mean abs: 0.2802, output mean abs: 0.3980
2026-05-01 22:16:28,879 - INFO - Y_seasonal mean abs: 0.2795, output mean abs: 0.3970
2026-05-01 22:16:28,896 - INFO - Y_seasonal mean abs: 0.2801, output mean abs: 0.4005
2026-05-01 22:16:28,916 - INFO - Y_seasonal mean abs: 0.2796, output mean abs: 0.3984
2026-05-01 22:16:28,936 - INFO - Y_seasonal mean abs: 0.2799, output mean abs: 0.3990
2026-05-01 22:16:28,955 - INFO - Y_seasonal mean abs: 0.2804, output mean abs: 0.4007
2026-05-01 22:16:28,973 - INFO - Y_seasonal mean abs: 0.2795, output mean abs: 0.3984
2026-05-01 22:16:28,991 - INFO - Y_seasonal mean abs: 0.2800, output mean abs: 0.4016
2026-05-01 22:16:29,011 - INFO - Y_seasonal mean abs: 0.2793, output mean abs: 0.4011
2026-05-01 22:16:29,031 - INFO - Y_seasonal mean abs: 0.2802, output mean abs: 0.4035
2026-05-01 22:16:29,725 - INFO - Epoch: 1 cost time: 23.064871549606323
2026-05-01 22:16:50,791 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2775
2026-05-01 22:16:50,910 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2790
2026-05-01 22:16:51,023 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2785
2026-05-01 22:16:51,041 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2773
2026-05-01 22:16:51,053 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2803
2026-05-01 22:16:51,064 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2784
2026-05-01 22:17:12,887 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2825
2026-05-01 22:17:12,990 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2691
2026-05-01 22:17:13,093 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2698
2026-05-01 22:17:13,204 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2838
2026-05-01 22:17:13,232 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2890
2026-05-01 22:17:13,243 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2803
2026-05-01 22:17:13,254 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2975
2026-05-01 22:17:13,264 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2994
2026-05-01 22:17:13,274 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2952
2026-05-01 22:17:13,285 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2884
2026-05-01 22:17:13,294 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2835
2026-05-01 22:17:13,305 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2889
2026-05-01 22:17:13,315 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2855
2026-05-01 22:17:13,324 - INFO - Y_seasonal mean abs: 0.2140, output mean abs: 0.2932
2026-05-01 22:17:14,034 - INFO - Epoch: 1, Steps: 46 | Train Loss: 0.7028061 Vali Loss: 0.5170121 Test Loss: 0.7354932
2026-05-01 22:17:14,034 - INFO - Validation loss decreased (inf --> 0.517012).  Saving model ...
2026-05-01 22:17:14,057 - INFO - Updating learning rate to 0.001
2026-05-01 22:17:35,057 - INFO - Y_seasonal mean abs: 0.2798, output mean abs: 0.4025
2026-05-01 22:17:35,228 - INFO - Y_seasonal mean abs: 0.2794, output mean abs: 0.4304
2026-05-01 22:17:35,251 - INFO - Y_seasonal mean abs: 0.2807, output mean abs: 0.4728
2026-05-01 22:17:35,273 - INFO - Y_seasonal mean abs: 0.2804, output mean abs: 0.5334
2026-05-01 22:17:35,295 - INFO - Y_seasonal mean abs: 0.2802, output mean abs: 0.6090
2026-05-01 22:17:35,314 - INFO - Y_seasonal mean abs: 0.2793, output mean abs: 0.6480
2026-05-01 22:17:35,337 - INFO - Y_seasonal mean abs: 0.2794, output mean abs: 0.6925
2026-05-01 22:17:35,358 - INFO - Y_seasonal mean abs: 0.2791, output mean abs: 0.6915
2026-05-01 22:17:35,380 - INFO - Y_seasonal mean abs: 0.2794, output mean abs: 0.6612
2026-05-01 22:17:35,404 - INFO - Y_seasonal mean abs: 0.2796, output mean abs: 0.6418
2026-05-01 22:17:35,422 - INFO - Y_seasonal mean abs: 0.2789, output mean abs: 0.6053
2026-05-01 22:17:35,441 - INFO - Y_seasonal mean abs: 0.2796, output mean abs: 0.5673
2026-05-01 22:17:35,460 - INFO - Y_seasonal mean abs: 0.2796, output mean abs: 0.5451
2026-05-01 22:17:35,478 - INFO - Y_seasonal mean abs: 0.2800, output mean abs: 0.5207
2026-05-01 22:17:35,499 - INFO - Y_seasonal mean abs: 0.2796, output mean abs: 0.4989
2026-05-01 22:17:35,517 - INFO - Y_seasonal mean abs: 0.2797, output mean abs: 0.4864
2026-05-01 22:17:35,537 - INFO - Y_seasonal mean abs: 0.2790, output mean abs: 0.4706
2026-05-01 22:17:35,557 - INFO - Y_seasonal mean abs: 0.2797, output mean abs: 0.4633
2026-05-01 22:17:35,575 - INFO - Y_seasonal mean abs: 0.2792, output mean abs: 0.4569
2026-05-01 22:17:35,596 - INFO - Y_seasonal mean abs: 0.2792, output mean abs: 0.4540
2026-05-01 22:17:35,617 - INFO - Y_seasonal mean abs: 0.2786, output mean abs: 0.4608
2026-05-01 22:17:35,637 - INFO - Y_seasonal mean abs: 0.2795, output mean abs: 0.4651
2026-05-01 22:17:35,654 - INFO - Y_seasonal mean abs: 0.2797, output mean abs: 0.4759
2026-05-01 22:17:35,674 - INFO - Y_seasonal mean abs: 0.2792, output mean abs: 0.4904
2026-05-01 22:17:35,694 - INFO - Y_seasonal mean abs: 0.2799, output mean abs: 0.5087
2026-05-01 22:17:35,713 - INFO - Y_seasonal mean abs: 0.2793, output mean abs: 0.5092
2026-05-01 22:17:35,734 - INFO - Y_seasonal mean abs: 0.2790, output mean abs: 0.5249
2026-05-01 22:17:35,749 - INFO - Y_seasonal mean abs: 0.2782, output mean abs: 0.5305
2026-05-01 22:17:35,769 - INFO - Y_seasonal mean abs: 0.2788, output mean abs: 0.5292
2026-05-01 22:17:35,787 - INFO - Y_seasonal mean abs: 0.2784, output mean abs: 0.5223
2026-05-01 22:17:35,807 - INFO - Y_seasonal mean abs: 0.2794, output mean abs: 0.5226
2026-05-01 22:17:35,827 - INFO - Y_seasonal mean abs: 0.2787, output mean abs: 0.5029
2026-05-01 22:17:35,846 - INFO - Y_seasonal mean abs: 0.2784, output mean abs: 0.4953
2026-05-01 22:17:35,867 - INFO - Y_seasonal mean abs: 0.2793, output mean abs: 0.4858
2026-05-01 22:17:35,885 - INFO - Y_seasonal mean abs: 0.2787, output mean abs: 0.4740
2026-05-01 22:17:35,905 - INFO - Y_seasonal mean abs: 0.2789, output mean abs: 0.4705
2026-05-01 22:17:35,923 - INFO - Y_seasonal mean abs: 0.2783, output mean abs: 0.4655
2026-05-01 22:17:35,940 - INFO - Y_seasonal mean abs: 0.2779, output mean abs: 0.4644
2026-05-01 22:17:35,959 - INFO - Y_seasonal mean abs: 0.2779, output mean abs: 0.4533
2026-05-01 22:17:35,979 - INFO - Y_seasonal mean abs: 0.2792, output mean abs: 0.4639
2026-05-01 22:17:36,000 - INFO - Y_seasonal mean abs: 0.2789, output mean abs: 0.4638
2026-05-01 22:17:36,019 - INFO - Y_seasonal mean abs: 0.2785, output mean abs: 0.4718
2026-05-01 22:17:36,039 - INFO - Y_seasonal mean abs: 0.2783, output mean abs: 0.4709
2026-05-01 22:17:36,059 - INFO - Y_seasonal mean abs: 0.2786, output mean abs: 0.4782
2026-05-01 22:17:36,079 - INFO - Y_seasonal mean abs: 0.2784, output mean abs: 0.4837
2026-05-01 22:17:36,099 - INFO - Y_seasonal mean abs: 0.2786, output mean abs: 0.4822
